State_Name,State_District_Name,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Total,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Rural,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Urban,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Total,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Rural,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Urban
Chhattisgarh,Koriya,57.5,55.85,64.13,34.84,34.49,36.24,62.17,61.81,63.59,46.16,46.15,46.2,13.4,15.18,6.25,5.54,6.04,3.53,6.89,6.44,8.7,4.89,4.81,5.17,5.38,5.38,5.38,6.96,6.83,7.48,8.29,8.05,9.28,10.02,9.68,11.38
Chhattisgarh,Mahasamund,68.66,68.28,72.43,54.03,55.12,43.62,24.27,24.27,24.28,47.22,46.25,56.79,7.49,6.54,16.87,5.38,4.63,12.76,5.01,4.43,10.7,6.07,6.09,5.8,5.4,5.43,5.14,7.3,7.32,7.18,8.7,8.72,8.54,11.07,11.04,11.29
Chhattisgarh,Raigarh,47.28,45.13,62.25,46.86,47.63,41.51,50.67,49.75,57.09,43.68,42.99,48.43,10.3,10.14,11.42,7.88,7.53,10.31,9.24,9.27,9.02,5.18,5.19,5.11,5.43,5.44,5.34,7.26,7.27,7.2,8.39,8.41,8.24,10.23,10.21,10.34
Chhattisgarh,Raipur,69.28,68.36,72.19,52.36,56.08,40.87,44.83,41.12,56.56,48.92,46.05,58.03,7.01,6.24,9.44,5.33,4.17,9.02,5.21,4.13,8.6,5.3,5.37,5.12,5.15,5.26,4.8,7.43,7.46,7.33,8.69,8.7,8.66,11.47,11.39,11.73
Chhattisgarh,Rajnandgaon,64.87,65.31,61.87,44.26,46.17,31.57,52.69,51.03,64.03,55.57,53.55,69.3,10.41,10.17,11.99,6.73,6.67,7.19,6.93,6.89,7.19,5.13,5.14,5.07,5.13,5.18,4.75,7.24,7.24,7.26,8.74,8.74,8.72,11.15,11.19,10.93
Chhattisgarh,Surguja,51.13,50.39,64.36,48.24,48.16,49.75,48.66,48.97,43.07,39.37,39.72,33.17,8.64,8.74,6.93,6.88,6.99,4.95,6.87,7.09,2.97,5.24,5.23,5.26,5.55,5.55,5.64,7.38,7.38,7.48,8.6,8.59,8.74,10.67,10.67,10.65
Jharkhand,Bokaro,46.3,52.2,39,66,68.7,62.7,36.6,33.3,40.6,45.8,41.1,51.4,14.2,14,14.4,2.2,1.8,2.6,1.4,1.4,1.4,5.9,6.1,5.6,5,5,4.9,7.8,7.9,7.8,9,9.1,9,9.7,9.8,9.6
Jharkhand,Chatra,34.6,35.1,30,29.2,29.6,24.9,36.4,35.8,41.1,53.6,52.2,66,6.4,5.9,10.3,3.4,2.7,9.5,2.5,2.1,6.3,5.1,5.2,4.2,4.4,4.5,3.8,7.5,7.6,6.9,9.2,9.3,9,10.5,10.5,10.5
Jharkhand,Deoghar,35.6,34.3,45.2,45.8,47,36.8,41.1,39.3,55.2,58.8,58.9,58,7.7,7.5,9.3,4.6,4.8,2.8,2.8,2.9,1.8,4.8,4.9,4.3,4.1,4.1,4.2,7.1,7.1,7.1,8.5,8.5,8.8,9.5,9.5,9.6
Jharkhand,Dhanbad,33.4,31.5,35.1,44.4,45.6,43.2,59.9,58.3,61.4,53.6,52.1,55,19.7,19.7,19.6,5.6,6,5.2,4.3,4.5,4,4.7,4.8,4.5,5.1,5,5.1,7.7,7.7,7.8,9.8,9.8,9.9,10.4,10.3,10.4
Jharkhand,Dumka,41.6,41.1,49.7,54.2,54.6,48.1,47.1,47,49.2,51.6,51.8,48.2,22.8,23.1,16.2,5.5,5.5,5.1,4.6,4.6,4.6,5.3,5.3,5.6,4.9,4.9,5.3,7.8,7.8,7.9,9.9,10,9.2,10.4,10.4,9.8
Jharkhand,Garhwa,35.9,36.6,NA,33.8,34.2,NA,46.1,45.9,NA,46.8,47.4,NA,7.5,7.6,NA,4.7,4.7,NA,4.3,4.3,NA,4.9,4.9,NA,4.3,4.2,NA,7.1,7.1,NA,8.5,8.6,NA,9.5,9.5,NA
Jharkhand,Giridih,36.3,35.5,53.7,39.5,39.1,48.7,41.3,41.6,36.3,45.2,45.5,38.8,3.9,3.8,6,2,2,2,2.1,2.2,2,5.1,5.1,5.1,4.7,4.7,5,7.6,7.6,7.5,9.3,9.3,8.8,10.1,10.1,9.8
Jharkhand,Godda,45.7,45.7,NA,49.3,49.5,NA,39.8,39.5,NA,45.8,45.8,NA,4.1,4.2,NA,6.5,6.6,NA,2.2,2.2,NA,5.1,5.2,NA,4.7,4.7,NA,7.4,7.4,NA,8.7,8.6,NA,9.7,9.7,NA
Jharkhand,Gumla,44.9,45,42.3,48.9,48.6,54.4,45.5,45.4,46.3,51.5,51.8,46.3,10.4,10.3,12.7,1.8,1.8,2,1.2,1.2,1.3,6.2,6.2,5.9,4.5,4.4,4.8,7.8,7.8,7.9,9.4,9.4,9.3,10.2,10.2,9.9
Jharkhand,Hazaribagh,45.7,45,49,41.8,42.3,39.5,41.4,42,38.7,52,53.1,46.5,7.4,7.1,8.6,3.4,3.2,4.5,3,2.8,3.8,4.8,4.8,4.8,4.6,4.5,4.9,7.2,7.3,7.1,8.8,8.8,8.5,9.5,9.6,9.2
Jharkhand,Kodarma,41.2,41.7,38.2,40,41.3,33.1,49.6,48.6,54.8,50.7,50,54.3,6.3,6.4,5.5,2.4,2.5,1.9,2,2,1.9,4.9,5,4.5,4.5,4.6,4.4,7.5,7.6,7.2,9.2,9.2,8.8,9.8,9.8,9.5
Jharkhand,Lohardaga,53.7,54.7,45.1,77.5,78.4,69.9,22.1,21.2,30.2,17.3,16.2,27.3,8.7,7.6,18.1,1.6,1.4,4,1.2,1.2,1.2,6.6,6.7,6.2,6.8,6.8,6.8,8.4,8.5,7.9,9.3,9.3,9.2,9.8,9.8,9.8
Jharkhand,Pakaur,36.2,36.1,NA,31.1,31.1,NA,51.4,51.3,NA,55.3,55.6,NA,8.2,8.3,NA,5,4.9,NA,3.8,3.8,NA,4.5,4.5,NA,4.2,4.2,NA,7.2,7.2,NA,8.5,8.5,NA,9.1,9.1,NA
Jharkhand,Palamu,40,39.3,52.5,34,33.8,38,50.7,50.8,48.7,67,67.8,53.8,8.4,8.3,10.1,5.1,5.1,5.9,3.7,3.7,4.2,4.5,4.5,4.2,3.7,3.7,4.3,7.1,7.2,7,8.8,8.8,8.3,9.6,9.6,9.2
Jharkhand,Pashchimi Singhbhum,47.3,45.7,58,78.5,82.1,53.4,22.3,18.2,49,20.5,16.3,47.7,10,8.1,21.9,1.7,1.7,1.8,3,2.6,5.7,6.7,6.8,5.8,7.1,7.3,5.6,8.3,8.4,7.9,9.2,9.2,9.3,9.5,9.5,9.6
Jharkhand,Purbi Singhbhum,53.3,57.6,49.2,56.4,54,58.8,44.1,45.7,42.7,36.5,37.5,35.5,11.8,11.4,12.1,1.3,1.3,1.4,1.2,1,1.5,5.9,6,5.8,5.9,5.7,6.1,8.3,8.3,8.3,10,10,10,10.4,10.6,10.3
Jharkhand,Ranchi,55.3,57.1,51.7,55.4,60.4,45.7,45.3,40.5,54.9,31.8,27.8,39.9,18.1,16.1,22.2,4,3.6,5,2.4,2,3.2,5.8,6,5.4,6.1,6.2,5.8,7.7,7.8,7.6,9,9.1,8.9,9.5,9.6,9.4
Jharkhand,Sahibganj,38.2,37.9,41.2,34.3,35,26.9,36.4,37.8,21.5,51,51.2,48.9,6.6,6.9,4.1,7.3,7.4,5.7,4.1,4.3,2,5,4.9,5.4,4.3,4.2,4.5,7.2,7.2,7.4,8.6,8.5,8.8,9.6,9.6,9.9
Madhya Pradesh,Balaghat,74.2,74.3,73.3,56.8,57.5,52.5,25.8,24.7,32.4,39.2,38.8,41.6,17.6,16.5,24.4,14.5,14.3,15.9,13.7,13.3,15.6,6.6,6.5,7.4,6.3,6.2,7.3,7.9,7.9,8.2,9,9,9.3,12.1,12.2,12
Madhya Pradesh,Barwani,54.5,53.9,56.8,38.7,38.3,40.2,61.9,61.7,62.6,57,56.2,60.3,7.7,8.1,6.1,5.3,5.4,4.8,5.9,6,5.7,3.5,3.5,3.5,4.1,4.1,3.8,7.9,7.9,7.9,10.2,10.2,10.2,10.8,10.8,10.9
Madhya Pradesh,Betul,74.5,74.6,74.1,63.9,65.5,55.7,24.1,22.4,33.6,31.7,31.1,35.1,15.4,14.6,19.5,13.9,13.4,17,13.4,12.8,16.6,5.8,5.8,5.6,5.8,5.8,5.7,7.4,7.4,7.4,8.6,8.5,8.7,11.6,11.7,11.2
Madhya Pradesh,Bhind,67.9,70.9,61.9,30,29.4,31.2,63.8,64.2,63,52.3,51.9,53.2,11.6,11.5,11.7,7.6,7.7,7.5,6.5,6.4,6.5,3.7,3.7,3.7,4.8,4.8,4.8,7.7,7.7,7.7,9.7,9.6,9.8,10.2,10.1,10.3
Madhya Pradesh,Bhopal,80.6,83.4,79.9,46.9,37.3,49.1,47.6,57.2,45.3,48.3,54.8,46.7,9.4,9.9,9.2,6.6,6.3,6.7,6.8,5.5,7.1,4.4,4.2,4.5,4.6,4.7,4.6,7.3,7.5,7.3,9.6,9.7,9.5,8.7,9,8.6
Madhya Pradesh,Chhatarpur,51.9,51.2,54.8,25,23.9,29,62.7,62.6,63.1,61.2,62.6,55.5,7.3,7,8.3,2.9,3.1,2,2.5,2.9,1,4.2,4.1,4.3,5,5.1,4.8,7.5,7.6,7.2,9.6,9.7,9.4,12.3,12.2,12.4
Madhya Pradesh,Chhindwara,77.9,77,80.6,41.3,41.1,41.7,44.6,44.7,44.5,43.7,38.3,59.9,10.7,10.4,11.5,8.7,8.2,10.3,7.5,7.5,7.5,5.2,5.2,4.9,5.5,5.5,5.2,7.5,7.5,7.4,9.1,9.2,8.8,12.3,12.3,12.4
Madhya Pradesh,Damoh,55.9,55.2,58.8,47.4,50.3,35,32,29.2,44,43.2,39.7,57.8,21,21.5,19,17.8,17.7,18.1,15.9,15.5,17.7,5.2,5.3,4.6,5.3,5.4,4.7,6.8,6.9,6.4,8.2,8.3,7.9,10.5,10.5,10.4
Madhya Pradesh,Datia,82.1,82.8,80.2,36.4,37.8,32.6,54.5,55.2,52.5,45.8,48.4,38.7,6.2,6,6.9,3.3,3.7,2.3,2.8,3.1,1.8,4.3,4.3,4.2,5.2,5.1,5.6,8,8.1,7.8,9.7,9.7,9.6,10.3,10.3,10.3
Madhya Pradesh,Dewas,56.6,53.5,63.6,27.7,27.5,28.1,68.4,68.7,67.8,56.6,57.7,54,5.8,4.3,9.1,4.5,2.8,8.4,4,2.4,7.5,3.4,3.4,3.4,4.4,4.3,4.4,8,8,7.9,10,10.2,9.7,10.1,10.2,10
Madhya Pradesh,Dhar,52.6,48.6,68,37.5,38.4,34.2,60,59.6,61.4,64.1,63.5,66.5,8.7,8.1,11.4,3.8,2,10.7,4.9,3.4,10.5,3.8,3.8,3.6,3.8,3.9,3.5,7.6,7.6,7.8,9.8,9.9,9.3,8.9,9.1,8
Madhya Pradesh,Dindori,59.5,59.2,NA,60.5,60,NA,18.7,19.2,NA,44.8,45,NA,12.8,13.1,NA,11.6,11.7,NA,11.4,11.5,NA,6.2,6.2,NA,5.4,5.4,NA,7.4,7.4,NA,8.4,8.4,NA,11.2,11.2,NA
Madhya Pradesh,East Nimar,69.4,70.6,65.2,42.6,42.4,43,53.8,53.3,55.4,46.7,47,45.9,8.9,8.7,9.6,6.2,6.1,6.8,5.7,5.6,5.9,3.9,3.9,3.9,4.6,4.6,4.7,8.3,8.3,8,10,10.1,9.7,10.3,10.4,9.9
Madhya Pradesh,Guna,84.1,83.4,86.6,22.9,22.7,23.7,70.8,70.3,72.7,77.7,78.3,75.4,13.4,13.6,12.6,9.1,9.1,8.9,9.8,10,9.1,2.9,2.9,3,3,2.9,3.1,7.1,7.1,7.2,9,9,9,9.1,9.2,8.9
Madhya Pradesh,Gwalior,65.2,74.6,60.3,45.9,45.7,46.1,49.2,48,49.8,56.1,59.3,54.5,5.4,5.6,5.2,3.2,3.6,3,3.4,4.1,3.1,4,3.9,4,4.1,3.9,4.3,7,7,7,9.5,9.2,9.6,8.5,8.4,8.5
Madhya Pradesh,Harda,78.1,79.4,72.2,47.3,48.6,41.4,42.8,43.5,39.4,42.4,41.4,47,19.1,16.8,29.3,14.2,12,24.2,12.8,11.2,19.7,5.3,5.3,5.3,5.5,5.4,5.6,7.1,7.2,7,8.3,8.3,8.2,10.7,10.8,10.4
Madhya Pradesh,Hoshangabad,79.7,80,78.9,30.7,30.7,30.9,50,51.5,46.7,59.4,61.4,54.7,28.1,23.2,39.2,21.2,15.8,33.5,19.4,13.9,32,4.4,4.4,4.6,5.1,5.1,5.2,7.2,7.3,7,8.4,8.6,8,10.9,11.2,10.1
Madhya Pradesh,Indore,75.7,80.1,74.1,50.6,43,53.4,47,55.1,44.1,32,35.3,30.8,5.9,5.3,6.1,4.7,5.3,4.5,3.8,3.7,3.8,4.3,3.9,4.5,5.3,5,5.4,7.9,8.1,7.8,10,9.8,10.1,9.9,10,9.8
Madhya Pradesh,Jabalpur,62.6,68.1,58.4,34.4,31,37,45.1,49.7,41.5,56.7,58.3,55.4,11.8,12.8,11,13.4,15.5,11.7,13.1,15.6,11.1,5,5.1,5,5,4.9,5,7.3,7.3,7.3,8.7,8.8,8.6,11.7,11.7,11.7
Madhya Pradesh,Jhabua,61.8,61.6,64.7,50.9,50.2,57.1,46.7,47.4,38.8,49.5,50.4,40.9,17.9,18.1,15.5,2.9,2.8,3.9,2.1,2,3.4,4.4,4.3,4.9,4.4,4.3,5,7.2,7.2,7,10.1,10.1,10.2,10.2,10.3,9.5
Madhya Pradesh,Katni,75.6,77.1,70.8,63.7,70.2,42.8,26.4,22.4,39.4,37,31.7,54.4,14.8,12.3,23,11.6,10.3,15.8,11.4,10.2,15.4,5.6,5.7,5.2,5.1,5.2,4.8,7.4,7.5,6.8,9.1,9.4,8.4,11.3,11.7,10.1
Madhya Pradesh,Mandla,60.5,59.3,72.4,52.9,51.9,62.8,27.2,27.8,21.4,48.2,49.4,35.7,9.1,8,20.2,6.8,6,15.8,6.2,5.3,15.5,6,6,6.3,5.3,5.3,5.7,7.5,7.5,7.6,8.8,8.9,8.4,11.9,12,10.7
Madhya Pradesh,Mandsaur,52.7,50.8,58.7,44.3,44.6,43.4,54.2,54.2,54.1,43,41.2,48.9,5.3,5.6,4.6,2.6,2.9,1.7,2.6,2.9,1.9,4.1,4,4.2,4.9,5.1,4.5,7.9,8,7.5,9.9,10,9.6,9.5,9.5,9.5
Madhya Pradesh,Morena,69.7,70.9,66.6,41,41.1,40.6,52.9,53.4,51.4,43.7,41.6,49.3,7.8,8.4,6.2,3.8,3.9,3.6,3.1,3.2,2.8,4.1,4.1,4,5.1,5.3,4.7,7.6,7.7,7.3,9.8,9.9,9.6,9.1,9.3,8.7
Madhya Pradesh,Narsimhapur,70.6,69.4,77.2,40.2,39.4,44.8,43.8,44.8,37.5,50.8,51.2,48.7,33.3,34,29.5,33.1,33.8,28.8,31.9,32.7,26.6,4.9,4.8,5.1,5.1,5.1,5.3,6.4,6.3,6.8,7.1,7,7.9,9.2,9.1,9.9
Madhya Pradesh,Neemuch,46.9,51,39.9,40,43.1,34.8,58,55,63.3,45.3,42.8,49.8,3,3.2,2.6,1.2,1.5,0.7,1.2,1.2,1.2,4.1,4.2,4,5.2,5.3,5.1,7.9,8,7.7,10.3,10.2,10.5,9.2,9.3,9
Madhya Pradesh,Panna,56.3,55.8,59.8,41.5,42.5,34.6,40.3,39.3,47.5,47.7,46.3,57,13.4,13,16,13.1,13.5,10.2,13,13.2,11.9,4,4.1,3,4.9,4.9,4.9,7.2,7.2,7.3,8.7,8.7,8.7,11,11,10.9
Madhya Pradesh,Raisen,75.1,74.1,79.2,44.2,44.3,44.1,40.6,40.5,40.9,47.9,47.5,49.7,19,20.2,14,17,18.5,10.4,17,18.4,11,5,5.1,5,5.3,5.3,5.2,7.2,7,7.9,8.5,8.2,9.6,10.4,10,11.9
Madhya Pradesh,Rajgarh,67.1,65.2,79.6,29.3,28.8,32.7,67.4,68,63.4,56.8,56.5,58.7,6.6,6.4,7.5,2.4,2.3,3.1,3,2.5,5.9,3.9,3.9,4,4.7,4.7,4.6,7.9,7.9,8.2,9.7,9.7,10.1,10,9.9,10.4
Madhya Pradesh,Ratlam,53,57.6,45.8,40.3,35.3,48.2,59.3,64.9,50.4,53.4,59.1,44.4,3.8,4.9,2,1.9,2.4,1.2,2,2.4,1.5,3.5,3.2,4.1,4.2,4,4.7,7.7,7.7,7.8,10.2,9.9,10.5,10.2,10.2,10.2
Madhya Pradesh,Rewa,61.8,62.3,58.7,34.6,35.3,29.6,48.4,48.5,48,51,49.3,62.2,9.3,6.1,30.3,8.8,6.2,26.4,5.7,2.6,26.8,4.7,4.7,4.8,5,5.1,4.6,7.2,7.3,6.8,8.9,9,8.2,12.4,12.4,12.5
Madhya Pradesh,Sagar,46.1,45.3,48.5,44.9,42.3,51.9,35.2,34.7,36.4,46.4,51.6,31.9,9.6,9.8,9.1,7.1,7.6,5.6,7.4,8,5.8,5.3,5.3,5.1,5.1,4.9,5.7,7.5,7.5,7.3,9.4,9.4,9.4,11.7,11.8,11.4
Madhya Pradesh,Satna,64.2,62.6,69.2,59.9,65.9,41.9,33.9,31.7,40.7,39.7,33.8,57.7,18.9,18.8,19.2,14.8,15.8,11.6,15.2,16.5,11.2,4.9,5.2,3.8,5.1,5.4,3.9,7.2,7.3,6.9,8.7,8.7,8.5,11,10.8,11.5
Madhya Pradesh,Sehore,57.3,61.1,42.3,34.1,34.7,31.9,62,61.2,64.7,65.2,65.1,65.7,6.2,6.5,5.2,6,5.9,6.2,5.2,5.2,5.2,3.3,3.4,3.1,3.6,3.7,3.3,7.7,7.7,7.4,9.6,9.6,9.8,9.8,9.7,9.8
Madhya Pradesh,Seoni,56.1,57.1,44.9,53.3,54.4,41.2,26.1,24.8,41.2,49.6,49,55.6,14.1,13.9,17.1,10.4,10.4,9.6,9,9.1,8,6.6,6.7,5.8,6.2,6.3,5.6,8.1,8.1,7.7,9.5,9.6,9.2,12.4,12.4,12.6
Madhya Pradesh,Shahdol,66.5,67.4,63.4,39.8,41.1,35.4,42.6,39.8,51.7,49.8,48,55.9,29.7,27.5,37.2,22.8,19.6,33.3,22,19.6,29.7,5.5,5.6,5.2,5.8,5.9,5.3,7,7.1,6.7,8,8.1,7.9,10.5,10.4,10.6
Madhya Pradesh,Shajapur,58.7,60.9,52.5,35.9,36.2,35,62.9,62.7,63.6,56.9,57,56.5,2.8,2.6,3.4,0.5,0.6,0.4,0.5,0.5,0.5,3.9,3.9,3.9,4.4,4.4,4.3,8.1,8.1,8,10.3,10.3,10.1,10.5,10.5,10.6
Madhya Pradesh,Sheopur,69,68.4,72.9,33.4,32.2,40.3,63.9,65.1,56.6,59.5,60.8,51.7,6.1,6.1,6.3,2.9,2.9,2.9,3.4,3.2,4.4,3.4,3.3,3.8,3.9,3.9,4.2,7.4,7.5,7.3,9.6,9.7,9.1,8.7,8.8,8.2
Madhya Pradesh,Shivpuri,80.2,79.9,81.8,32.8,30.5,47.6,61.1,62.9,49.4,50.8,52,42.5,10.1,10.9,4.6,8,8.7,3.2,7.9,8.8,2.1,4,3.9,4.4,4.8,4.8,4.7,7.3,7.2,7.8,9,8.9,9.6,8.6,8.5,9.2
Madhya Pradesh,Sidhi,79,80.5,66.8,38.5,39.4,31.1,51.8,50.2,65.3,59,56.6,79.1,23.7,22.2,36.2,20.1,19.1,28.6,20,19.1,27,4.5,4.6,4.4,4.8,4.8,4.2,6.7,6.8,6.5,7.8,7.9,7.5,10.2,10.2,10.1
Madhya Pradesh,Tikamgarh,55.9,54.2,63.4,25.5,28,14.7,52,45,82.2,51.9,50.9,56.4,15.6,8.7,45.3,10.6,7,26.1,13.7,7.1,41.5,3.6,3.6,3.8,4.8,4.8,4.4,7.1,7.4,6,9.3,9.5,8.2,11.6,12.1,9.5
Madhya Pradesh,Ujjain,66.3,59.5,78.3,37.1,36.8,37.6,62.2,62.6,61.6,55.6,56.9,53.4,4.2,3.9,4.7,1.3,1.3,1.2,1.3,1.4,1.1,3.8,3.7,3.9,4.4,4.3,4.7,7.9,7.9,7.8,10.1,10.1,10,10.4,10.4,10.4
Madhya Pradesh,Umaria,82.7,82.9,81.5,52.4,54.9,35.9,26.5,25.1,35.5,32.9,29.7,53.6,4.3,3.6,8.7,1,0.5,3.9,0.7,0.2,3.5,5.8,5.9,5,5.5,5.5,4.9,7.5,7.5,7.6,9.3,9.3,9.1,12.3,12.4,11.9
Madhya Pradesh,Vidisha,76.5,76.8,75.9,40.2,42.4,34.3,49.7,49.1,51.5,48,43.5,60.4,23.1,23.1,23.4,19.9,20.4,18.5,20.2,20.7,18.9,4.5,4.6,4.2,5.2,5.3,4.9,7.1,7.2,7,8.4,8.4,8.4,10.9,11,10.9
Madhya Pradesh,West Nimar,82.4,82.1,84.2,45.9,45.1,50.9,48.5,49.7,41.7,48.1,48.8,44.2,7.5,6.6,12.7,3.8,3.2,7.6,3,2.7,4.5,4.3,4.3,4.4,4.5,4.5,4.5,7.4,7.5,6.7,9.5,9.6,9,9,9.2,7.6
Odisha,Anugul,75.13,75.33,74.14,15.88,15.84,16.11,83.4,83.16,84.6,77.75,77.64,78.33,9.98,10.81,5.7,5.29,5.87,2.28,4.44,4.78,2.66,2.55,2.58,2.37,2.92,2.93,2.87,7.19,7.15,7.42,10.28,10.36,9.89,9.52,9.53,9.46
Odisha,Balangir,69.72,69.78,68.98,23.31,23.85,16.67,72.57,71.99,79.63,73.97,74.08,72.69,8.38,7.54,18.52,3.83,3.8,4.17,2.26,2.06,4.63,2.88,2.92,2.48,2.78,2.75,3.08,7.01,7.06,6.39,9.46,9.51,8.97,8.48,8.52,8
Odisha,Baleshwar,84.09,83.69,87.75,27.88,28.12,25.84,69.28,69.14,70.53,55.25,54.69,60.26,11.39,11.59,9.6,2.07,2.04,2.32,1.45,1.35,2.32,3.72,3.73,3.62,4.12,4.14,3.92,7.13,7.17,6.82,9.6,9.59,9.68,8.8,8.82,8.61
Odisha,Bargarh,71.6,71.71,70.47,24.61,24.07,30.81,74.08,74.66,67.79,71.01,72.02,60.07,22.67,22.96,19.46,6.38,6.44,5.7,5.54,5.5,6.04,2.57,2.57,2.49,2.75,2.7,3.27,6.47,6.46,6.53,8.38,8.39,8.23,7.86,7.84,8.04
Odisha,Baudh,83.92,83.72,NA,44.45,44.23,NA,52.22,52.46,NA,49.77,50.53,NA,22.29,22.81,NA,8.23,8.48,NA,10.92,11.34,NA,4.08,4.03,NA,3.62,3.57,NA,6.48,6.46,NA,7.85,7.81,NA,7.68,7.63,NA
Odisha,Bhadrak,80.01,80.02,79.96,21.45,21.3,22.46,75.9,75.75,76.92,63.39,63.69,61.34,19.41,19.65,17.81,4.6,4.5,5.26,4.3,4.48,3.04,3.42,3.42,3.46,3.79,3.8,3.73,6.73,6.7,6.88,9.7,9.71,9.65,8.99,9.04,8.71
Odisha,Cuttack,82.01,83.67,76.6,39.23,38.25,42.35,52.08,53.23,48.36,47.37,47.11,48.21,9.71,9.39,10.76,3.59,3.54,3.74,4.04,3.79,4.84,4.03,4.03,4,4.77,4.8,4.69,7.47,7.57,7.15,9.48,9.42,9.66,8.99,9.15,8.47
Odisha,Debagarh,65.77,65.71,66.47,22.2,22.64,16.91,77.82,77.39,82.66,72.28,72.44,70.52,20.02,19.95,20.81,3.53,3.54,3.47,2.22,2.22,2.31,3,3.03,2.67,2.94,2.93,3.06,6.51,6.53,6.34,8.77,8.81,8.33,8.67,8.74,7.84
Odisha,Dhenkanal,73.82,74.5,65.52,18.91,19.35,13.79,81.12,80.95,83.25,77.85,77.77,78.82,48.99,49.45,43.35,6.49,6.73,3.45,5.18,5.28,3.94,2.68,2.69,2.63,3.21,3.22,3.09,5.58,5.57,5.63,10.09,10.06,10.42,9.71,9.67,10.12
Odisha,Gajapati,73.66,74.59,65.49,31.74,33.09,19.51,58.3,57.49,65.49,56.46,56.96,52.11,9.32,9.18,10.56,1.98,2.05,1.41,2.62,2.59,2.82,3.93,3.99,3.51,3.93,3.88,4.3,7.47,7.53,7.02,10.28,10.26,10.48,11.04,11.06,10.85
Odisha,Ganjam,71.34,70.28,77.82,23.84,24.41,20.21,70.97,70.39,74.48,65.88,67.15,58.16,19.17,18.53,23.01,5.42,5.55,4.6,4.74,4.83,4.18,2.88,2.88,2.86,3.73,3.64,4.26,6.87,6.88,6.86,9.14,9.14,9.09,9.47,9.41,9.8
